Item Lookup Code,Department,Category,Description,Quantity Sold,Sales,Last Sold,Cost,Cost Sold,Non Sale Movement,Last Received
Grand Summaries,,,,,,,,,,
,,,,"24,119.00","314,789.49","#,#.00","18,743.95","227,923.80","39,563.00","#,#.00"
#32 GLASS PIPE,SMOKE SUPPLIES,PIPES,#32 GLASS PIPE,1,$22.75,4/8/2025 10:45,$18.00,$18.00,0,
00014800003628,FOOD & BEVERAGE,,CLAMATO MICHELADA 12-320Z,10,$375.00,5/9/2025 16:11,$33.99,$339.90,0,1/24/2025 13:58
00014800511765,FOOD & BEVERAGE,JUICE/MIXERS,CLAMATO 16OZ,13,$274.00,5/13/2025 10:59,$18.99,$246.87,0,11/16/2024 14:39
00021136070378,FOOD & BEVERAGE,,TOPO CHICO 24CT,25,$841.75,5/13/2025 10:33,$25.99,$649.75,0,8/12/2024 12:19
00041333009612,ELECTRONICS & ACCESSORIES,,DURACELL AA 4PK BATTERY,2,$90.50,5/8/2025 14:22,$38.50,$77.00,0,1/24/2025 12:33
00041333014616,ELECTRONICS & ACCESSORIES,,DURACELL AAA 4PK BATTERY,1,$58.25,5/13/2025 18:23,$49.50,$49.50,0,1/24/2025 12:33
00041333085616,ELECTRONICS & ACCESSORIES,,DURACELL D 2PK 6CT BATTERY,2,$39.00,4/14/2025 17:02,$16.50,$33.00,0,8/2/2024 9:56
00041333086613,ELECTRONICS & ACCESSORIES,,DURACELL C 2PK 8CT BATTERY,1,$27.50,5/2/2025 14:35,$22.00,$22.00,0,8/2/2024 9:56
00041333087610,ELECTRONICS & ACCESSORIES,,DURACELL AA 2PK BATTERY,4,$104.00,5/9/2025 10:00,$19.60,$78.40,0,1/24/2025 12:33
00041333151618,ELECTRONICS & ACCESSORIES,,DURACELL AAA 2PK BATTERY,6,$189.00,5/8/2025 14:22,$27.00,$151.20,-3,4/30/2025 14:50
00070158112054,SMOKE SUPPLIES,MISC,KRAZY GLUE 12PK,2,$23.00,5/13/2025 9:56,$8.50,$17.00,0,2/17/2025 17:18
00071924940031,AUTOMOTIVE,,MOBIL SYNTHETIC 10W30 6QT,1,$28.00,4/23/2025 10:41,$38.00,$38.00,0,
00076171939937,SMOKE SUPPLIES,,LITTLE TREES VARITY 24PK,1,$15.75,4/29/2025 12:12,$13.50,$13.50,0,12/24/2024 12:24
00076171941930,SMOKE SUPPLIES,MISC,LITTLE TREE ASSORTED CAN 12CT,1,$15.75,4/8/2025 10:45,$13.00,$13.00,0,6/24/2024 15:16
00076308411688,SMOKE SUPPLIES,,SCOTCH UTILITY TAPE 12CT,1,$11.75,5/6/2025 15:13,$9.00,$9.00,0,9/17/2024 15:34
00860009496026,LIQUOR SUPPLIES,BRELLA,BRELLA COCKTAIL MIXER 6CT,3,$105.00,4/4/2025 11:21,$19.50,$58.50,0,
008660006035,WRAPS/FILTERS/HEMP/CONES,CONES,ZIG ZAG 1 1/4 SIZECONE 24CT6PK,3,$128.25,5/12/2025 15:04,$34.10,$102.30,0,11/16/2024 13:41
008660006073,WRAPS/FILTERS/HEMP/CONES,,ZIG ZAG UNBLEACHED 1 1/4 CONE,1,$42.75,4/12/2025 10:54,$34.10,$34.10,0,11/16/2024 13:41
008660007247,WRAPS/FILTERS/HEMP/CONES,WRAPS/PREROLL,ZIG ZAG ORANGE 1.25 PAPER 24PK,1,$39.99,4/14/2025 17:34,$36.00,$36.00,0,1/24/2025 12:33
008660007315,WRAPS/FILTERS/HEMP/CONES,WRAPS/PREROLL,ZIG ZAG ULTRA THIN 1 1/4 24CT,1,$42.00,4/26/2025 10:28,$37.75,$37.75,0,10/28/2024 11:56
008660007681,WRAPS/FILTERS/HEMP/CONES,CONES,ZIG ZAG CONE UNBLCH 1/4 6PK24C,1,$28.75,5/13/2025 16:02,$23.40,$23.40,0,9/6/2024 15:08
008660008640,,,ZIG ZAG ULTRATHINMINI 70'S 8PK,1,$21.75,5/6/2025 9:23,$19.00,$19.00,0,
008660008824,,,ZIG ZAG UNBLEACHEMINI 70'S 8PK,1,$21.75,5/6/2025 9:23,$19.00,$19.00,0,
014800000276,FOOD & BEVERAGE,JUICE/MIXERS,CLAMATO 16OZ CUBANO 12CT,9,$220.50,5/12/2025 14:54,$21.99,$197.91,0,11/16/2024 14:39
014800516609,FOOD & BEVERAGE,JUICE/MIXERS,CLAMATO 64OZ 8LS ,5,$217.50,5/13/2025 18:23,$40.00,$200.00,0,8/28/2023 15:59
014800582048,FOOD & BEVERAGE,JUICE/MIXERS,REAL LIME 8OZ,7,$169.75,5/9/2025 13:15,$18.98,$132.86,0,11/30/2024 12:21
014800582215,FOOD & BEVERAGE,JUICE/MIXERS,REAL LEMON 8OZ,3,$72.75,5/9/2025 13:15,$18.98,$56.94,0,11/30/2024 11:46
016229908515,FOOD & BEVERAGE,JUICE/MIXERS,FOCO COCONUT JUICE 24CT,18,$579.00,5/9/2025 11:25,$26.99,$485.82,0,1/24/2025 13:58
016500040194,MEDS/DAILY CARE,MISC,ALKA-SELTZER ORG 12TAB X 6PK,1,$20.50,4/8/2025 10:45,$14.50,$14.50,0,5/22/2020 13:31
016500567301,MEDS/DAILY CARE,PILLS,ALKA SELTZER 2PK 18CT ,1,$7.50,4/28/2025 13:44,$5.75,$5.75,0,
016500591733,MEDS/DAILY CARE,PILLS,ALKA-SELTZER ORGI 58CT 2PK,1,$15.75,4/8/2025 10:45,$11.49,$11.49,0,1/24/2025 14:24
016500594932,MEDS/DAILY CARE,,ALKA SLETZER PLUS 72CT,1,$23.00,4/28/2025 14:16,$18.99,$18.99,0,10/28/2024 11:56
01660433,FOOD & BEVERAGE,JUICE/MIXERS,ROSES LIME JUICE 12OZ,3,$9.75,5/6/2025 15:55,$2.50,$7.50,0,9/9/2022 17:07
018026024504,PLASTIC/PAPER GOODS,,PAPER PLATES 50CT,44,$47.00,5/13/2025 9:49,$0.92,$40.30,0,1/24/2025 11:47
018355102416,FOOD & BEVERAGE,ENERGY DRINK,GINSENG ENERGY NOW 24PK,1,$6.50,4/8/2025 10:45,$4.50,$4.50,0,7/29/2016 22:47
021136070545,FOOD & BEVERAGE,,TOPOCHICO PLASTIC WATER 24CT M,59,"$2,049.75",5/13/2025 18:23,$29.99,"$1,769.41",0,1/24/2025 14:26
021136170184,FOOD & BEVERAGE,,TOPO CHICO LIME 20OZ,3,$104.25,5/13/2025 10:33,$0.00,$0.00,0,
021136180626,FOOD & BEVERAGE,,TOPOCHICO GLASS 18CT,4,$107.00,4/25/2025 12:33,$22.99,$91.96,0,10/28/2024 11:56
021136180664,FOOD & BEVERAGE,,TOPO LIME 16 OZ 18CT,8,$214.00,5/8/2025 13:07,$22.99,$183.92,0,1/24/2025 14:24
021136452815,FOOD & BEVERAGE,,TOPOCHICO 1 LTR,34,$875.50,5/8/2025 14:22,$21.99,$747.66,0,11/16/2024 14:39
022600001553,,,TROJAN BARESKIN RAW,1,$16.50,4/29/2025 12:12,$14.00,$14.00,0,1/27/2025 11:33
022600019619,MEDS/DAILY CARE,MISC,TROJAN DOUBLE ECSTASY 6PK,1,$14.50,4/8/2025 10:45,$12.00,$12.00,0,12/24/2024 13:35
022600020158,MEDS/DAILY CARE,MISC,TROJAN MAGNUM XL 6 PK,1,$13.50,4/1/2025 11:47,$10.50,$10.50,0,12/24/2024 13:35
022600228882,MEDS/DAILY CARE,MISC,TROJAN MAGNUM BARESKIN 6PK,1,$14.50,4/29/2025 12:12,$12.50,$12.50,0,2/28/2024 17:18
022600300007,MEDS/DAILY CARE,MISC,TROJAN FEELS,1,$13.50,4/28/2025 15:31,$12.00,$12.00,0,9/30/2024 10:19
022600642039,MEDS/DAILY CARE,MISC,TROJAN MAGNUM 6PK,19,$180.50,5/13/2025 10:59,$8.00,$152.00,0,1/27/2025 11:33
022600647201,MEDS/DAILY CARE,MISC,TROJAN MAGNUM ECSTASY 6PK,3,$40.50,5/6/2025 11:07,$12.00,$36.00,0,10/28/2024 10:04
022600920502,MEDS/DAILY CARE,MISC,TROJAN NON-LUBRICATED 6PK,2,$19.00,5/6/2025 9:18,$8.00,$16.00,0,9/17/2024 15:06
022600926207,MEDS/DAILY CARE,MISC,TROJAN ULTRA THIN 6PK,12,$114.00,5/10/2025 14:40,$8.00,$96.00,0,1/27/2025 11:33
022600930501,MEDS/DAILY CARE,MISC,TROJAN ENZ PREMIUM 6PK,8,$76.00,5/13/2025 10:59,$8.00,$64.00,0,1/27/2025 11:33
022600931508,MEDS/DAILY CARE,MISC,TROJAN ENZ SPERMIDICAL 6PK,9,$85.50,5/7/2025 10:38,$8.00,$72.00,0,1/27/2025 11:33
022600940500,MEDS/DAILY CARE,MISC,TROJAN ULTRA RIBBED 6PK,9,$85.50,5/13/2025 9:56,$8.00,$72.00,0,12/24/2024 13:35
022600947219,MEDS/DAILY CARE,MISC,TROJAN ECSTASY 6PK,2,$27.00,5/13/2025 9:56,$10.50,$21.00,0,12/24/2024 13:35
022600953210,MEDS/DAILY CARE,MISC,TROJAN PLEASURE PACK 6PK,3,$37.50,5/13/2025 10:26,$10.50,$31.50,0,1/27/2025 11:33
022600957010,MEDS/DAILY CARE,MISC,TROJAN CHARGED 6PK,2,$25.00,5/13/2025 18:23,$10.50,$21.00,0,1/27/2025 11:33
022600957058,MEDS/DAILY CARE,MISC,TROJAN BARESKIN GRAY 6PK,1,$13.50,4/8/2025 19:09,$12.00,$12.00,0,1/27/2025 11:33
022600960034,MEDS/DAILY CARE,MISC,TROJAN FIRE & ICE 6PK,5,$67.50,5/6/2025 11:40,$10.50,$52.50,0,1/27/2025 11:33
022600973201,MEDS/DAILY CARE,MISC,TROJAN HER PLEASURE 6PK,11,$104.50,5/13/2025 10:26,$8.00,$88.00,0,1/27/2025 11:33
022600999492,,,TROJAN VARIETY PACK,1,$21.50,4/29/2025 12:17,$15.00,$15.00,0,1/27/2025 11:33
023604200232,LIQUOR SUPPLIES,SALT,TWANG LEMON LIME SALT 200CT,3,$43.50,4/28/2025 14:16,$11.50,$34.50,0,7/8/2019 14:12
023604205237,LIQUOR SUPPLIES,SALT,TWANG LIME  SALT 200CT,4,$58.00,5/9/2025 13:15,$11.50,$46.00,0,3/24/2020 14:13
023604212372,LIQUOR SUPPLIES,SALT,TWANG SRIRACHA SALT 10CT,1,$10.99,5/9/2025 11:25,$8.75,$8.75,0,10/7/2020 14:56
023604212631,LIQUOR SUPPLIES,SALT,TWANG CHILI LIME  SALT 10CT,5,$54.95,5/9/2025 13:15,$8.75,$43.75,0,9/17/2024 16:14
023604213065,LIQUOR SUPPLIES,SALT,TWANG LEMON SALT10CT,12,$131.88,5/9/2025 13:15,$8.75,$105.00,0,6/25/2024 11:04
023604213164,LIQUOR SUPPLIES,SALT,TWANG PICKLE SALT 10CT,3,$32.97,5/9/2025 11:25,$7.50,$22.50,0,
023604213485,FOOD & BEVERAGE,,TWANG TANGY TAMARIND,2,$21.98,5/9/2025 11:25,$8.75,$17.50,0,6/12/2024 15:20
023604213584,FOOD & BEVERAGE,FOOD,TWANG CLASSIC CHAMOY,1,$10.99,5/9/2025 11:25,$8.75,$8.75,0,6/12/2024 15:20
023604215632,LIQUOR SUPPLIES,SALT,TWANG LIME SALT 10CT,23,$252.77,5/9/2025 13:15,$9.30,$213.90,0,1/24/2025 11:47
023604219630,LIQUOR SUPPLIES,SALT,TWANG MANGO CHILI SALT 10CT,4,$43.96,5/9/2025 11:25,$9.30,$37.20,0,7/16/2024 16:54
023604237016,LIQUOR SUPPLIES,SALT,TWANG BEER SALT LIME 24CT,2,$65.00,4/16/2025 16:07,$27.75,$55.50,0,1/24/2025 11:47
023604265019,LIQUOR SUPPLIES,SALT,TWANG BEER SALT HOT  LIME 24CT,1,$29.50,4/8/2025 10:45,$22.80,$22.80,0,6/18/2018 13:52
023604430103,LIQUOR SUPPLIES,SALT,CLAMATO CHILI-LIME SALT 10CT,4,$53.00,5/9/2025 11:25,$11.50,$46.00,0,1/24/2025 11:47
023604920109,FOOD & BEVERAGE,JUICE/MIXERS,TWANG MICHELADA COCKTAIL 2.5OZ,1,$18.50,4/8/2025 10:45,$14.40,$14.40,0,8/17/2020 14:55
024968777880,SUPPLEMENTS,PILLS,STIFF ROX HONEY 12CT,2,$30.00,4/15/2025 14:22,$8.00,$16.00,0,4/18/2024 10:40
025000058011,FOOD & BEVERAGE,SODA,MINUTE MAID LEMONADE 20OZ 24CT,15,$502.50,5/9/2025 10:41,$26.50,$412.50,0,5/1/2025 14:39
025000058868,FOOD & BEVERAGE,SODA,MINUTE MAID PINK LEM 20OZ 24CT,7,$234.50,5/9/2025 10:41,$26.50,$192.50,0,5/1/2025 14:39
025900240790,TOBACCO,45CT CIGAR,SWISHER MINI DIAMOND 3PK 15CT,1,$23.50,4/2/2025 9:26,$19.58,$19.58,0,8/26/2022 15:34
025900240806,TOBACCO,45CT CIGAR,SWISHER MINI REG 3PK 15CT,2,$47.00,4/25/2025 17:18,$20.80,$41.60,0,11/13/2024 15:31
025900284305,TOBACCO,60CT CIGAR,SWISHER PEACH 2/1.19 60CT,1,$31.00,4/2/2025 9:26,$28.70,$28.70,0,11/21/2023 15:34
025900287337,TOBACCO,60CT CIGAR,SWISHER REG 2/1.19 2PK 30CT,14,$433.70,5/13/2025 9:44,$28.70,$401.80,0,2/7/2025 12:22
025900287344,TOBACCO,60CT CIGAR,SWISHER GRAPE 2/1.19 2PK 30CT,2,$62.00,4/15/2025 10:05,$28.70,$57.40,0,11/13/2024 15:31
025900287351,TOBACCO,60CT CIGAR,SWISHER BLUE 2/1.19 2PK 30CT,1,$31.00,5/7/2025 10:22,$28.70,$28.70,0,8/16/2024 12:03
025900287467,TOBACCO,60CT CIGAR,SWISHER SV2 REG 30CT2PK,2,$81.98,5/13/2025 9:56,$31.96,$63.92,0,2/7/2025 12:22
025900296353,TOBACCO,60CT CIGAR,SWISHER GREEN 2/1.19 60CT,2,$61.95,5/10/2025 12:46,$28.70,$57.40,0,11/13/2024 15:31
025900325718,TOBACCO,30CT CIGAR,SWISHER BLK SMOOTH 2/1.49 30CT,11,$225.15,5/9/2025 9:55,$18.22,$200.42,0,2/7/2025 12:22
025900325725,TOBACCO,30CT CIGAR,SWISHER BLK CHERRY 2/1.49 30CT,1,$20.50,4/2/2025 9:26,$18.22,$18.22,0,2/7/2025 12:22
025900325732,TOBACCO,30CT CIGAR,SWISHER BLK GRAPE 2/1.49 30CT,1,$20.50,5/13/2025 16:02,$18.22,$18.22,0,2/7/2025 12:22
025900325749,TOBACCO,30CT CIGAR,SWISHER BLK BERRY 2/1.49 30CT,1,$20.50,4/9/2025 14:28,$18.22,$18.22,0,2/7/2025 12:22
025900329839,TOBACCO,60CT CIGAR,SWISHER DIAMOND 2/1.19 60CT,8,$247.90,5/9/2025 16:11,$28.70,$229.60,0,2/7/2025 12:22
025900329853,TOBACCO,60CT CIGAR,SWISHER SILVER 2/1.19,1,$31.00,5/5/2025 10:25,$28.15,$28.15,0,3/22/2024 13:14
025900329860,TOBACCO,60CT CIGAR,SWISHER TROPICAL 2/1.19 60CT,3,$92.95,4/22/2025 11:12,$28.15,$84.45,0,3/22/2024 13:14
025900329914,TOBACCO,60CT CIGAR,SWISHER PEPPERMINT 2/1.19 60CT,1,$30.95,4/12/2025 14:14,$28.15,$28.15,0,11/13/2024 15:31
025900359003,TOBACCO,30CT CIGAR,SWISHER LEAF ORGINAL 3PK10CT,2,$55.98,4/24/2025 9:58,$26.50,$53.00,0,11/13/2024 15:31
025900405359,TOBACCO,60CT CIGAR,SWISHER SV2 DIAMOND 60CT,7,$286.93,5/2/2025 10:50,$31.96,$223.72,0,2/7/2025 12:22
025900426828,TOBACCO,60CT CIGAR,SWISHER BANANA SMASH 30PK 2CT,1,$25.99,4/7/2025 12:34,$23.65,$23.65,0,8/26/2022 15:34
025900525453,TOBACCO,60CT CIGAR,SWISHER COOKIE 2/1.19 2PK 30CT,2,$61.95,4/18/2025 14:20,$28.70,$57.40,0,3/18/2025 13:52
031700232262,TOBACCO,60CT CIGAR,WHITE OWL SAVEON2 MANGO 60CT,2,$81.98,4/15/2025 10:00,$32.64,$65.28,0,3/18/2025 13:52
031700235980,TOBACCO,60CT CIGAR,WHITE OWL SAVEON2 RUSSIAN 60CT,1,$40.99,4/15/2025 10:00,$32.64,$32.64,0,3/18/2025 13:52
031700237694,TOBACCO,60CT CIGAR,WHITE OWL SWEET 2/1.19 60CT,2,$62.00,4/9/2025 12:33,$28.15,$56.30,0,3/18/2025 13:52
031700237717,TOBACCO,60CT CIGAR,WHITE OWL WHT GRAPE 2/1.19 60C,9,$278.95,5/6/2025 10:37,$28.15,$253.35,0,3/18/2025 13:52
031700237748,TOBACCO,60CT CIGAR,WHITE OWL GREENSWT 2/1.19 60CT,2,$61.95,5/1/2025 12:32,$28.15,$56.30,0,8/16/2024 12:03
031700237762,TOBACCO,60CT CIGAR,WHITE OWL BLUE RASP2/1.19 60CT,2,$62.00,4/25/2025 13:51,$29.38,$58.76,0,11/13/2024 15:31
031700237779,TOBACCO,60CT CIGAR,WHITE OWL MANGO 2/1.19 2PK 30C,5,$154.95,5/8/2025 10:32,$28.15,$140.75,0,3/18/2025 13:52
031700237809,TOBACCO,60CT CIGAR,WHITE OWL STRWBRY 2/1.19 60CT,1,$31.00,4/16/2025 9:29,$29.38,$29.38,0,3/18/2025 13:52
031700237816,TOBACCO,60CT CIGAR,WHITE OWL PEACH 2/1.19 60CT,1,$31.00,4/25/2025 17:18,$28.15,$28.15,0,8/16/2024 12:03
031700237922,TOBACCO,60CT CIGAR,GAME WHITE GRAPE 2/1.29 60ct,1,$33.50,4/2/2025 9:26,$31.40,$31.40,0,3/22/2024 13:14
031700237939,TOBACCO,60CT CIGAR,GAME GRAPE 2/1.29 2PK 30CT,1,$33.50,4/2/2025 9:26,$31.82,$31.82,0,5/6/2025 12:38
031700237953,TOBACCO,60CT CIGAR,GAME BLUE 2/1.29 2PK 30CT,1,$33.50,4/2/2025 9:26,$31.82,$31.82,0,5/6/2025 12:38
031700237984,TOBACCO,60CT CIGAR,GAME MANGO 2/1.29 60ct,1,$33.50,4/2/2025 9:26,$31.40,$31.40,0,5/6/2025 12:38
031700238387,TOBACCO,60CT CIGAR,WHITE OWL SV2 TRIPLE GRAP 60CT,1,$40.99,4/29/2025 12:12,$32.64,$32.64,0,11/13/2024 15:31
031700238394,TOBACCO,60CT CIGAR,WHITE OWL TRPLEGRP 2/1.19 60CT,2,$62.00,5/9/2025 14:27,$28.15,$56.30,0,11/13/2024 15:31
031700238974,TOBACCO,30CT CIGAR,GARCIA VEGA RED 2 /1.49 15CT,1,$20.50,5/9/2025 9:55,$17.95,$17.95,0,11/13/2024 15:31
031700238981,TOBACCO,30CT CIGAR,GARCIA VEGA GREEN 2 /1.49 15CT,10,$204.90,5/13/2025 9:55,$17.95,$179.50,0,3/18/2025 13:52
031700420164,TOBACCO,60CT CIGAR,WHITE OWL SV2 WHT GRAPE 60CT,2,$81.98,4/10/2025 13:20,$32.64,$65.28,0,3/18/2025 13:52
035000511058,MEDS/DAILY CARE,DENTAL,COLGATE 2.8OZ 6PK,5,$45.00,5/13/2025 9:56,$6.00,$30.00,0,2/17/2025 17:18
037900990629,SMOKE SUPPLIES,BUTANE,RONSONOL LIGHTER FLUID 24C 8OZ,12,$30.00,4/9/2025 15:34,$1.88,$22.56,0,8/4/2020 13:53
038200041219,FOOD & BEVERAGE,FOOD,PICKLE IN POUCH LRG DILL,8,$71.92,5/13/2025 16:02,$7.50,$60.00,0,2/17/2025 16:51
038200041226,FOOD & BEVERAGE,FOOD,PICKLE IN POUCH LRG HOT,14,$125.86,5/13/2025 16:02,$7.50,$105.00,0,2/17/2025 16:51
038200041233,FOOD & BEVERAGE,FOOD,PICKLE IN POUCH LRG KOSHER,1,$8.99,5/13/2025 16:02,$7.50,$7.50,0,2/17/2025 16:51
038200041240,FOOD & BEVERAGE,FOOD,PICKLE IN POUCH LRG SOUR,5,$44.95,5/13/2025 16:02,$7.50,$37.50,0,1/24/2025 15:53
038900773700,FOOD & BEVERAGE,FOOD,DOLE PINEAPPLE 8OZ CAN 24PK,6,$111.00,5/9/2025 10:52,$14.98,$89.88,0,8/12/2024 10:56
040232095023,SUPPLEMENTS,,HARD STEEL 24CT,1,$45.00,4/12/2025 12:49,$36.00,$36.00,0,5/15/2023 14:14
040232286902,SUPPLEMENTS,PILLS,SWAG PLATINUM  ,2,$130.00,5/1/2025 17:47,$36.00,$72.00,0,3/15/2024 13:25
041167100066,MEDS/DAILY CARE,MISC,ROLAIDS REG STRENGTH MINT,2,$16.00,4/8/2025 10:45,$7.00,$14.00,0,9/19/2022 14:00
041508734660,,,SAN PELLECRINO,4,$98.00,5/8/2025 14:22,$15.99,$63.96,0,10/28/2024 11:56
041689140038,SMOKE SUPPLIES,LIGHTERS,ZIPPO BUTANE FUEL 4.50OZ 12CT ,1,$39.00,4/8/2025 10:45,$31.44,$31.44,0,3/17/2020 15:03
041689140083,,,ZIPPO BUTINE 290 ML,5,$22.50,4/9/2025 15:34,$0.00,$0.00,0,
041689300494,SMOKE SUPPLIES,BUTANE,ZIPPO LIGHTER FLUID 4OZ,6,$11.94,5/2/2025 9:42,$1.40,$8.40,0,9/15/2023 12:33
041689301224,SMOKE SUPPLIES,BUTANE,ZIPPO LIGHTER FLUID 12OZ,3,$9.75,4/12/2025 10:54,$2.58,$7.74,0,7/28/2023 10:53
041985453634,WRAPS/FILTERS/HEMP/CONES,,KING PALM 4CT MINI ROLL 24PK,1,$54.00,4/8/2025 10:45,$47.00,$47.00,0,6/18/2018 15:28
042037111144,MEDS/DAILY CARE,MISC,BC POWDER 2CT 36PC,1,$21.75,5/9/2025 10:41,$19.50,$19.50,0,10/15/2022 15:25
042037111168,MEDS/DAILY CARE,MISC,BC 6CT 24PK,1,$38.25,4/8/2025 10:45,$32.50,$32.50,0,11/16/2024 13:41
04223418,TOBACCO SNUFF,SNUFF 6OZ,KODIAK WINTERGREEN LNGCT6OZ,15,$495.00,5/9/2025 16:11,$29.89,$448.35,0,11/30/2024 12:29
04254418,TOBACCO SNUFF,SNUFF 4.1OZ,GRIZZLY WINTERGRN POUCH 4.2OZ,5,$140.00,5/9/2025 16:11,$23.60,$118.00,0,9/5/2024 10:42
04287212,TOBACCO SNUFF,SNUFF 6OZ,GRIZZLY WINTERGREEN LONGCT 6OZ,12,$336.00,5/13/2025 9:36,$24.14,$289.68,0,11/30/2024 12:29
047400130920,MEDS/DAILY CARE,MISC,GILLETTE SHAVING GEL,1,$8.50,4/25/2025 11:55,$6.25,$6.25,0,2/2/2019 16:37
049000005226,FOOD & BEVERAGE,SODA,COCA COLA 1LITER 12PK,7,$182.00,5/8/2025 10:27,$21.15,$148.05,0,11/30/2024 12:21
049000018011,FOOD & BEVERAGE,SODA,COCA COLA 20OZ CHERRY 24PK,4,$128.00,4/28/2025 14:19,$27.50,$108.00,0,5/1/2025 14:39
049000019162,FOOD & BEVERAGE,SODA,COCA COLA 20OZ FANTA ORAN 24PK,3,$96.00,5/7/2025 9:38,$27.50,$69.75,0,5/1/2025 14:39
049000023190,FOOD & BEVERAGE,SODA,SPRITE 1L 12CT,5,$125.00,4/28/2025 14:19,$22.11,$110.55,0,9/17/2024 14:08
049000040869,FOOD & BEVERAGE,SODA,COCA COLA 20OZ  ZERO  24PK,9,$288.00,5/13/2025 9:49,$27.00,$243.00,0,2/17/2025 17:09
049000044225,FOOD & BEVERAGE,SODA,COCA COLA GLASS BOTTLE,3,$114.00,5/8/2025 10:23,$33.99,$101.97,0,5/28/2024 17:22
