Department,Category,Item Lookup Code,Description,Cost,Price,Price A,Price B,Price C
TOBACCO,30CT CIGAR,025900359065,SWISHER LEAF DARK STOUT10/3PK,26.5000,27.9900,0.0000,27.9500,0.0000
FOOD & BEVERAGE,,719410175436,5-HOUR ENERGY WATERMELON,21.0000,23.2500,0.0000,0.0000,0.0000
,,719410725129,5-HOUR EXTRA ULTIMATE CITRUS,20.4000,23.2500,0.0000,0.0000,0.0000
FOOD & BEVERAGE,,719410786120,5-HOUR EXTRA STRAWBERRY BANANA,21.0000,23.2500,0.0000,0.0000,0.0000
FOOD & BEVERAGE,,611269423754,RED BULL SUGAR FREE 12 OZ,50.1300,57.0000,0.0000,0.0000,0.0000
MEDS/DAILY CARE,PILLS,016500567301,ALKA SELTZER 2PK 18CT ,5.7500,7.5000,0.0000,0.0000,0.0000
FREIGHT OR SERVICE CHARGE,,CARD,CREDIT CARD FEE 3%,0.0000,0.0000,0.0000,0.0000,0.0000
FOOD & BEVERAGE,,611269991246,RED BULL 8.4FL OZ ,37.9900,39.0000,0.0000,0.0000,0.0000
,,074780004107,PERRIER 330ML 24CT,19.9900,23.5000,0.0000,0.0000,0.0000
FOOD & BEVERAGE,SODA,COKE16OZ,COKE 16 OZ 24CT,28.5000,32.0000,0.0000,0.0000,0.0000
PLASTIC/PAPER GOODS,,183689182028,PLENTY BIG ROLL 15CT,15.9900,19.5000,0.0000,0.0000,0.0000
LIQUOR SUPPLIES,,756545773083,MINI TRAVEL BOTTLE OPENER 48CT,16.8000,24.0000,0.0000,0.0000,0.0000
LIQUOR SUPPLIES,SALT,023604200232,TWANG LEMON LIME SALT 200CT,11.5000,14.5000,0.0000,0.0000,0.0000
,,300450481528,MORTIN-IB 50CT,11.9900,14.5000,0.0000,0.0000,0.0000
MEDS/DAILY CARE,PILLS,20323900048366,NYQUIL SEVERE 32 2PK,28.5000,36.0000,9.0000,0.0000,0.0000
MEDS/DAILY CARE,,016500594932,ALKA SLETZER PLUS 72CT,18.9900,23.0000,0.0000,0.0000,0.0000
PLASTIC/PAPER GOODS,PLASTIC BAGS,GARBAGEBAG33/39,GARBAGE BAG 33/39,7.6500,21.0000,15.5000,23.0000,0.0000
FOOD & BEVERAGE,SODA,049000023190,SPRITE 1L 12CT,22.1100,25.0000,0.0000,0.0000,0.0000
AUTOMOTIVE,,30076171101557,LITTLE TRESS BLACK ICE,13.5000,15.7500,0.0000,0.0000,0.0000
FOOD & BEVERAGE,ENERGY DRINK,070847029434,MONSTER ULTRA PEACHY KEEN 16OZ,37.0000,40.5000,0.0000,0.0000,0.0000
FOOD & BEVERAGE,JUICE/MIXERS,072718100334,MR. PURE FRUIT PUNCH 16OZ,15.6500,19.5000,0.0000,0.0000,0.0000
