Department,Category,Item Lookup Code,Description,Price
TOBACCO,30CT CIGAR,025900359065,SWISHER LEAF DARK STOUT10/3PK,27.99
FOOD & BEVERAGE,,7.1941E+11,5-HOUR ENERGY WATERMELON,23.25
,,7.19411E+11,5-HOUR EXTRA ULTIMATE CITRUS,23.25
FOOD & BEVERAGE,,7.19411E+11,5-HOUR EXTRA STRAWBERRY BANANA,23.25
FOOD & BEVERAGE,,6.11269E+11,RED BULL SUGAR FREE 12 OZ,57
MEDS/DAILY CARE,PILLS,016500567301,ALKA SELTZER 2PK 18CT ,7.5
FREIGHT OR SERVICE CHARGE,,CARD,CREDIT CARD FEE 3%,0
FOOD & BEVERAGE,,6.1127E+11,RED BULL 8.4FL OZ ,39
,,074780004107,PERRIER 330ML 24CT,23.5
FOOD & BEVERAGE,SODA,COKE16OZ,COKE 16 OZ 24CT,32
PLASTIC/PAPER GOODS,,1.83689E+11,PLENTY BIG ROLL 15CT,19.5
LIQUOR SUPPLIES,,7.56546E+11,MINI TRAVEL BOTTLE OPENER 48CT,24
LIQUOR SUPPLIES,SALT,023604200232,TWANG LEMON LIME SALT 200CT,14.5
,,3.0045E+11,MORTIN-IB 50CT,14.5
MEDS/DAILY CARE,PILLS,2.03239E+13,NYQUIL SEVERE 32 2PK,36
MEDS/DAILY CARE,,016500594932,ALKA SLETZER PLUS 72CT,23
PLASTIC/PAPER GOODS,PLASTIC BAGS,GARBAGEBAG33/39,GARBAGE BAG 33/39,21
FOOD & BEVERAGE,SODA,049000023190,SPRITE 1L 12CT,25
AUTOMOTIVE,,3.00762E+13,LITTLE TRESS BLACK ICE,15.75
FOOD & BEVERAGE,ENERGY DRINK,070847029434,MONSTER ULTRA PEACHY KEEN 16OZ,40.5
FOOD & BEVERAGE,JUICE/MIXERS,072718100334,MR. PURE FRUIT PUNCH 16OZ,19.5
TOBACCO,SMOKE TOBACCO,8.44504E+11,AMERICAN CLUB MENTHOL  16OZ,9.5
TOBACCO,SMOKE TOBACCO,8.44504E+11,AMERICAN CLUB LIGHT 16OZ,9.5
TOBACCO,SMOKE TOBACCO,8.44504E+11,AMERICAN CLUB CLASSIC 6OZ,5
TOBACCO,SMOKE TOBACCO,8.44504E+11,AMERICAN CLUB MENTHOL 6OZ,5
TOBACCO,SMOKE TOBACCO,8.44504E+11,AMERICAN CLUB LIGHT 6OZ,5
TOBACCO,SMOKELESS,042100003642,BLOODHOUND CHEW TOBACCO 30OZ,102
TOBACCO,SMOKE TOBACCO,077170460040,TOP GOLD CAN 6OZ,29.5
TOBACCO,SMOKE TOBACCO,077170466523,TOP MENTHOL CAN 6OZ,29.5
TOBACCO,SMOKE TOBACCO,077170462020,TOP SUPEROLL MENTHOL CAN 3.5OZ,19.5
TOBACCO,SMOKE TOBACCO,077170462006,TOP SUPEROLL REGULAR CAN 3.5OZ,19.5
TOBACCO,60CT CIGAR,8.12319E+11,GOODTIMES FRENCH GRAPE15PK 3CT,10.25
TOBACCO,60CT CIGAR,8.18892E+11,GOODTIMES SOUR APPLE 15PK 3CT,10.25
